id,offload vehicle id,service vehicle id,allocation basestation id,delay,done status,vehicle density
20220408163358bs0,0.0,3.0,0.0,0.0,"{1: 4, 2: 0}",0.864241361618042
20220408163404bs0,1.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.17188501358032227
20220408163409bs0,3.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.15334367752075195
20220408163411bs0,0.0,0.0,0.0,1.0,"{1: 4, 2: 0}",0.16615605354309082
20220408163412bs0,3.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.1293506622314453
20220408163418bs0,3.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.25426506996154785
20220408163419bs0,0.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.16183018684387207
20220408163421bs0,3.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.6580297946929932
20220408163424bs0,0.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.15278387069702148
20220408163429bs0,0.0,0.0,0.0,1.0,"{1: 4, 2: 0}",1.292647361755371
20220408163434bs0,0.0,1.0,0.0,0.0,"{1: 4, 2: 0}",3.4195868968963623
20220408163441bs0,1.0,1.0,0.0,1.0,"{1: 4, 2: 0}",0.16598033905029297
20220408163443bs0,0.0,1.0,0.0,0.0,"{1: 4, 2: 0}",0.1524975299835205
20220408163444bs0,1.0,2.0,0.0,1.0,"{1: 4, 2: 0}",0.22441506385803223
20220408163448bs0,0.0,0.0,0.0,1.0,"{1: 4, 2: 0}",0.1485884189605713
20220408163450bs0,1.0,2.0,0.0,1.0,"{1: 4, 2: 0}",0.1611166000366211
20220408163505bs0,3.0,0.0,0.0,1.0,"{1: 4, 2: 0}",0.3779599666595459
20220408163525bs0,1.0,3.0,0.0,0.0,"{1: 4, 2: 0}",7.709218978881836
20220408163547bs0,1.0,3.0,0.0,0.0,"{1: 4, 2: 0}",8.015242338180542
20220408163552bs1,3.0,0.0,1.0,1.0,"{1: 3, 2: 1}",0.5448238849639893
20220408163553bs1,1.0,0.0,1.0,1.0,"{1: 3, 2: 1}",0.33614516258239746
20220408163559bs1,3.0,3.0,1.0,1.0,"{1: 3, 2: 1}",0.606123685836792
20220408163604bs1,1.0,3.0,1.0,0.0,"{1: 3, 2: 1}",0.2821626663208008
20220408163607bs1,0.0,3.0,1.0,1.0,"{1: 3, 2: 1}",0.32598400115966797
20220408163610bs1,0.0,1.0,1.0,1.0,"{1: 3, 2: 1}",0.26050591468811035
20220408163615bs1,3.0,2.0,1.0,1.0,"{1: 3, 2: 1}",0.5461404323577881
20220408163624bs1,3.0,1.0,1.0,1.0,"{1: 2, 2: 2}",0.28154587745666504
20220408163628bs1,3.0,1.0,1.0,1.0,"{1: 2, 2: 2}",0.24748969078063965
